2020-08-11 12:38:26,446 - Recorded info
2020-08-11 12:40:03,320 - Recorded info
2020-08-11 13:15:32,534 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1258 , 17 
2020-08-11 13:15:58,303 - >>>>DETECT 1ST LEVEL SOLID HUMIDITY @ 1&2 STD -> 1124 Neg spec is 128.887511
2020-08-11 13:15:58,304 - >>>>>>>>1ST MX 2ND LEVEL MINOR SOLID HUMIDITY @ 2 STD -> 151 spec is 128.887511
2020-08-11 13:15:58,304 - >>>>>>>>1ST MX 1ST LEVEL MINOR SOLID HUMIDITY @ 2 STD -> 151 spec is 104.218756
2020-08-11 13:16:24,067 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1184 , 91 
2020-08-11 13:16:24,068 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1226 , 49 
2020-08-11 13:16:24,068 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1184 , 91 
2020-08-11 13:16:24,068 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1226 , 49 
2020-08-11 13:16:49,844 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1171 , 104 
2020-08-11 13:16:49,845 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1171 , 104 
2020-08-11 13:16:49,846 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1178 , 97 
2020-08-11 13:17:15,590 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1218 , 57 
2020-08-11 13:17:15,591 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1274 , 1 
2020-08-11 13:17:15,592 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1218 , 57 
2020-08-11 13:17:15,593 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1274 , 1 
2020-08-11 13:17:41,098 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1189 , 86 
2020-08-11 13:17:41,099 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1259 , 16 
